run	barcode	sample
SEQ_4_ARTIC_221121	85	77e9bbbed013a07e
SEQ_4_ARTIC_221121	86	efa9524738f7151f
SEQ_4_ARTIC_221121	87	d2ca04aa8a28b7e0
SEQ_4_ARTIC_221121	88	20b475c9f5350762
SEQ_4_ARTIC_221121	89	6a713cb97ed88129
SEQ_4_ARTIC_221121	90	c7d35d2e7b957157
SEQ_4_ARTIC_221121	91	5741e6a8749f1661
SEQ_4_ARTIC_221121	92	ba25ba6a79c3eb7c
SEQ_4_ARTIC_221121	93	15fc6244e617ff1c
SEQ_4_ARTIC_221121	94	f238a1c2a1ff5bf6
SEQ_4_ARTIC_221121	95	4da5f22c6a33df72
SEQ_4_ARTIC_221121	96	PC2
SEQ_5_MID_2_PT_2	01	NC
SEQ_5_MID_2_PT_2	02	IQC
SEQ_5_MID_2_PT_2	03	44187d63465ef40c
SEQ_5_MID_2_PT_2	04	d302d0c987a78c55
SEQ_5_MID_2_PT_2	05	b2c520e919f3053a
SEQ_5_MID_2_PT_2	06	47c5c8eb2bed0a20
SEQ_5_MID_2_PT_2	07	3aeacdc4fc20f21b
SEQ_5_MID_2_PT_2	08	1447d24fbabd00cc
SEQ_5_MID_2_PT_2	09	2e04a71f72ff787e
SEQ_5_MID_2_PT_2	10	cf9f75221f0eb662
SEQ_5_MID_2_PT_2	11	7b14592ba87cd5d7
SEQ_5_MID_2_PT_2	12	587e4b0d7e300b6d
SEQ_5_MID_2_PT_2	13	86b539105468ff07
SEQ_5_MID_2_PT_2	14	c54747234cb8fb8c
SEQ_5_MID_2_PT_2	15	e040402c14a7f992
SEQ_5_MID_2_PT_2	16	e0f2e5111bc0b4fd
SEQ_5_MID_2_PT_2	17	82f53c53916f63ba
SEQ_5_MID_2_PT_2	18	de887d59f7d18f4e
SEQ_5_MID_2_PT_2	19	2e40271d68326e01
SEQ_5_MID_2_PT_2	20	dd9ce5af6913aa5d
SEQ_5_MID_2_PT_2	21	3794083405526170
SEQ_5_MID_2_PT_2	22	10a50df27ee59357
SEQ_5_MID_2_PT_2	23	399e90c4ee4faef4
SEQ_5_MID_2_PT_2	24	de5c2d1e2c4ef297
SEQ_5_MID_2_PT_2	25	64d2c0aad8b54fa2
SEQ_5_MID_2_PT_2	26	80ecf7d4886756a4
SEQ_5_MID_2_PT_2	27	adee945dbb55a0c0
SEQ_5_MID_2_PT_2	28	b1da6318c02e644d
SEQ_5_MID_2_PT_2	29	b6c2689d4e3d001d
SEQ_5_MID_2_PT_2	30	79ed29f704a7dbb7
SEQ_5_MID_2_PT_2	31	772ce33420e5fee7
SEQ_5_MID_2_PT_2	32	b965d5b91b0c9ac0
SEQ_5_MID_2_PT_2	33	0ae622903ddb5e5e
SEQ_5_MID_2_PT_2	34	97639925c6753cab
SEQ_5_MID_2_PT_2	35	bc13c8bf6f0f8a90
SEQ_5_MID_2_PT_2	36	121c84f23317a1d0
SEQ_5_MID_2_PT_2	37	a395b44ab97f0814
SEQ_5_MID_2_PT_2	38	b98e287baa7b119d
SEQ_5_MID_2_PT_2	39	4b5077a14fec1617
SEQ_5_MID_2_PT_2	40	116b30bdbbbdff5b
SEQ_5_MID_2_PT_2	41	7fca10cf990654ec
SEQ_5_MID_2_PT_2	42	98dea6f8eeaab24f
SEQ_5_MID_2_PT_2	43	c2142a544f2c2ae5
SEQ_5_MID_2_PT_2	44	813020339459bf7f
SEQ_5_MID_2_PT_2	45	9e6a5d4d1f1691e7
SEQ_5_MID_2_PT_2	46	786a7098f8cf7d80
SEQ_5_MID_2_PT_2	47	4374568cf3255179
SEQ_5_MID_2_PT_2	48	9d51c3cc0f0cb0be
SEQ_5_MID_2_PT_2	49	ae2723c1365a9c29
SEQ_5_MID_2_PT_2	50	8ab9a84ad38f0abe
SEQ_5_MID_2_PT_2	51	2e4cf85df16a15c4
SEQ_5_MID_2_PT_2	52	31d35d64403441a6
SEQ_5_MID_2_PT_2	53	b63a3fdf9659b1f0
SEQ_5_MID_2_PT_2	54	1ef2ba1dbb64a7f7
SEQ_5_MID_2_PT_2	55	c296ae479cf424c7
SEQ_5_MID_2_PT_2	56	03dd26f4d0bb89ad
SEQ_5_MID_2_PT_2	57	19304cb5a7966ed2
SEQ_5_MID_2_PT_2	58	9fb2f9b68fc72792
SEQ_5_MID_2_PT_2	59	0025ccc2239d64a3
SEQ_5_MID_2_PT_2	60	612c2a00352c659d
SEQ_5_MID_2_PT_2	61	a9156ddeae514774
SEQ_5_MID_2_PT_2	62	c8eb1ffc5638cf0a
SEQ_5_MID_2_PT_2	63	fa367e36f735d083
SEQ_5_MID_2_PT_2	64	bff205e8ef844046
SEQ_5_MID_2_PT_2	65	7b076f816bccb116
SEQ_5_MID_2_PT_2	66	52c3500d275d8f7f
SEQ_5_MID_2_PT_2	67	9cdfeec893a70a7f
SEQ_5_MID_2_PT_2	68	57d9fd2c5f55506f
SEQ_5_MID_2_PT_2	69	fd9f1db8ea56e786
SEQ_5_MID_2_PT_2	70	5561b36fe2e601d4
